domain,type,active,rss_url,selector_body
elpais.com,national,true,https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/portada,
www.elpais.com,national,true,https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/portada,
elmundo.es,national,true,https://e00-elmundo.uecdn.es/elmundo/rss/portada.xml,
www.elmundo.es,national,true,https://e00-elmundo.uecdn.es/elmundo/rss/portada.xml,
abc.es,national,true,https://www.abc.es/rss/feeds/abcPortada.xml,
www.abc.es,national,true,https://www.abc.es/rss/feeds/abcPortada.xml,
eldiario.es,digital,true,https://www.eldiario.es/rss/,
www.eldiario.es,digital,true,https://www.eldiario.es/rss/,
europapress.es,wire,true,https://www.europapress.es/rss/rss.aspx,
www.europapress.es,wire,true,https://www.europapress.es/rss/rss.aspx,
publico.es,digital,true,https://www.publico.es/rss/,
www.publico.es,digital,true,https://www.publico.es/rss/,
lavanguardia.com,national,true,https://www.lavanguardia.com/rss/home.xml,
www.lavanguardia.com,national,true,https://www.lavanguardia.com/rss/home.xml,
elconfidencial.com,digital,true,https://www.elconfidencial.com/rss/,
www.elconfidencial.com,digital,true,https://www.elconfidencial.com/rss/,
elespanol.com,digital,true,https://www.elespanol.com/rss/,
www.elespanol.com,digital,true,https://www.elespanol.com/rss/,
20minutos.es,digital,false,https://www.20minutos.es/rss/,
www.20minutos.es,digital,false,https://www.20minutos.es/rss/,
