,metric,variant,strategy,window,value,type
0,drift,baseline,penultimate,2020-09-01,3.4712654906488942,absolute
1,drift,baseline,penultimate,2020-12-01,3.402998672242324,absolute
2,drift,baseline,penultimate,2020-11-01,3.396984895167004,absolute
3,drift,baseline,penultimate,2021-03-01,3.216499284486312,absolute
4,drift,baseline,penultimate,2021-02-01,2.991875902747016,absolute
5,drift,baseline,penultimate,2021-01-01,0.9437240126967237,delta
6,drift,baseline,penultimate,2020-07-01,0.7184038810774851,delta
7,drift,baseline,penultimate,2020-10-01,0.7033528767413522,delta
8,drift,baseline,penultimate,2020-09-01,0.7013582075812073,delta
9,drift,baseline,penultimate,2020-11-01,0.6290722812594618,delta
10,drift,baseline,last4_concat,2020-11-01,4.740131915395968,absolute
11,drift,baseline,last4_concat,2021-03-01,4.665586555686778,absolute
12,drift,baseline,last4_concat,2020-12-01,4.531429293914179,absolute
13,drift,baseline,last4_concat,2020-09-01,4.458493745054041,absolute
14,drift,baseline,last4_concat,2021-02-01,4.2062035900574894,absolute
15,drift,baseline,last4_concat,2021-01-01,0.9813976184554316,delta
16,drift,baseline,last4_concat,2020-11-01,0.8423634247826959,delta
17,drift,baseline,last4_concat,2020-08-01,0.8040402927188901,delta
18,drift,baseline,last4_concat,2021-02-01,0.6561719145987417,delta
19,drift,baseline,last4_concat,2020-10-01,0.5607252544407695,delta
20,drift,dapt,penultimate,2020-11-01,2.7073124030030598,absolute
21,drift,dapt,penultimate,2021-01-01,2.5710543495740685,absolute
22,drift,dapt,penultimate,2021-03-01,2.262124276823076,absolute
23,drift,dapt,penultimate,2020-12-01,2.198335261263801,absolute
24,drift,dapt,penultimate,2020-10-01,2.1037187109881303,absolute
25,drift,dapt,penultimate,2021-02-01,0.7792534681679437,delta
26,drift,dapt,penultimate,2020-11-01,0.6035936920149294,delta
27,drift,dapt,penultimate,2020-12-01,0.5089771417392588,delta
28,drift,dapt,penultimate,2021-03-01,0.47032339541695123,delta
29,drift,dapt,penultimate,2020-07-01,0.4124531378667764,delta
30,drift,dapt,last4_concat,2020-11-01,3.5901156588309493,absolute
31,drift,dapt,last4_concat,2020-09-01,3.33326750594712,absolute
32,drift,dapt,last4_concat,2020-12-01,3.3304062137284105,absolute
33,drift,dapt,last4_concat,2021-03-01,3.1718794066718687,absolute
34,drift,dapt,last4_concat,2021-02-01,3.1563774180551043,absolute
35,drift,dapt,last4_concat,2021-01-01,0.7352441086423664,delta
36,drift,dapt,last4_concat,2020-08-01,0.6666090072448236,delta
37,drift,dapt,last4_concat,2020-11-01,0.6001952387556102,delta
38,drift,dapt,last4_concat,2021-02-01,0.5612153129690602,delta
39,drift,dapt,last4_concat,2020-10-01,0.34334708587178087,delta
